SL NO,Category,Level,Variation,Description,Target Muscles,,,,,,
1,WALL SQUATS,LEVEL 1,B/L WALL ASSISTED SQUAT,Bilateral wall assisted squat is a beginner-friendly squat variation performed by standing with your back against a wall and sliding down into a squat position while maintaining contact with the wall for support. This helps build lower body strength and proper squat form with reduced risk of falling forward.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","Ideal for beginners, those relearning squat mechanics, people with poor squat stability, early rehab",,,,,
1,WALL SQUATS,LEVEL 2,U/L WALL ASSISTED SQUAT,"Unilateral wall assisted squat is a single-leg variation where you perform the squat on one leg while using the wall for balance and support, helping to address imbalances and improve unilateral strength.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Stabilizers",,,,,,
1,WALL SQUATS,LEVEL 3,BAND RESISTED WALL SQUATS,"Band resisted wall squats add resistance bands around the knees or thighs to increase activation of the outer hips and glutes while performing the wall squat, promoting better knee alignment and stability.","Primary: Quadriceps, Glutes, Hamstrings, Abductors; Secondary: Calves, Core",,,,,,
1,WALL SQUATS,LEVEL 4,WALL SUPPORTED FIG 4 SQUATS,"Wall supported figure 4 squats involve crossing one ankle over the opposite knee (figure 4 position) while squatting against the wall, targeting hip mobility and glute stretch alongside squat strength.","Primary: Quadriceps, Glutes, Hip Flexors; Secondary: Hamstrings, Calves, Core",,,,,,
1,WALL SQUATS,LEVEL 5,LOADED WALL SQUATS,"Loaded wall squats are performed by holding additional weight (e.g., dumbbells or kettlebells) while sliding down the wall into a squat hold, increasing intensity for strength building.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Back",,,,,,
1,WALL SQUATS,LEVEL 6,ZERCHER HOLD WALL SQUATS,"Zercher hold wall squats involve cradling a barbell or weight in the crooks of the elbows while performing the wall squat, emphasizing core and upper back engagement.","Primary: Quadriceps, Glutes, Hamstrings, Core; Secondary: Calves, Upper Back, Biceps",,,,,,
1,WALL SQUATS,LEVEL 7,STABILITY BALL WALL SQUATS,"Stability ball wall squats place a stability ball between your back and the wall for added instability, requiring more core activation while performing the squat slide.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Stabilizers",,,,,,
2,SUPPORTED SQUATS,LEVEL 1,BAND ASSISTED SQUATS,"Band assisted squats use resistance bands anchored above to provide upward assistance, making the squat easier for beginners or those building strength.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","For individuals needing added support (elderly, post-injury, post-op, or very deconditioned)",,,,,
2,SUPPORTED SQUATS,LEVEL 2,TRX SUPPORTED SQUATS,"TRX supported squats use TRX straps for balance and assistance, allowing deeper squats while maintaining form and building stability.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Body",,,,,,
2,SUPPORTED SQUATS,LEVEL 3,PARTNER ASSISTED SQUATS,"Partner assisted squats involve a partner providing support or resistance, helping to guide form or add challenge during the movement.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
